Vehicle ID;Traveled Distance after Policy
310324501;11433.74158282621m

344386601;20092.380618584764m

307623301;94281.23385869726m

237642001;20773.602283579006m

309529301;41059.75838242619m

189085501;10889.878186912782m

324858601;39023.50253907798m

349465901;14792.397173772306m

433207901;58369.80485013747m

364172401;81222.29459091093m

245141601;73264.6816238505m

346838901;93849.79726703669m

308410201;44726.5190687102m

367315601;39605.4187629346m

366949201;19409.282702841396m

319403101;22928.576946610498m

272203801;8106.984583250383m

261402201;83917.06121430303m

406756001;67097.12008937642m

450174001;64313.27449933719m

236044101;118118.8892071827m

314359501;34234.26309582515m

317285801;18805.473006463923m

408688901;8037.182779609457m

369814701;101655.54902684964m

340734001;79437.63248683m

237607201;105386.13996579175m

416325001;19042.268370495916m

226440701;37235.01004450401m

255296201;41365.79693085301m

44625001;96210.17221035092m

423270501;50201.35979695736m

82359601;115698.50813643371m

186569301;33909.86975863397m

258640301;71749.76114254518m

424608801;20208.97559241221m

190993301;30136.430769181432m

271278301;59435.00416738889m

343442801;17973.719641576903m

326715201;16352.106805009105m

15204401;82055.01168066036m

390275101;38593.22594780345m

359764301;15661.390432262036m

414438901;35040.8668346111m

312219501;21110.456531878095m

416801301;29116.80037688376m

244962301;39286.111623661745m

396889901;14239.442966022918m

399590401;14194.260162883196m

424569401;56724.22398407023m

419164701;16814.756574030875m

294472801;47871.95669454796m

411918401;20226.512701306667m

209207001;61906.23168145877m

428620501;128478.35390349082m

337751501;67576.65335354584m

251375501;34581.927430104326m

174430401;77395.7938557127m

272270101;65829.25230188857m

443987201;74469.55154307984m

430954001;102357.26746521355m

393226001;11449.838169037252m

289264701;61297.571036834364m

317557901;16214.056716455249m

262226501;26662.040165387094m

396317001;42250.788506455414m

365355101;64961.41584674034m

270314201;58835.73245354841m

362941601;51601.68078163706m

277952801;18847.235428064756m

269745801;47602.70485021669m

45160001;77810.54248582842m

189038101;26729.35751138713m

399620901;50772.14179494125m

361166501;28185.74865091738m

388712201;67895.10875613398m

450004401;55510.99894128551m

449321201;22127.069452087526m

366256901;93459.74656756163m

258067401;78770.45018323003m

189658301;20503.876635646928m

197542101;19913.015328958747m

277488501;159409.23361573223m

231929901;77793.22138413262m

295017001;20980.631003379793m

444928501;46084.67923409347m

382629801;36813.707610553436m

421375801;109389.99503664687m

322447801;79083.2312597862m

301767801;40266.70541617131m

78015901;288883.8049839077m

10495801;122956.22335183268m

227534701;27403.66122506328m

321824401;42152.60728624241m

369164101;47162.07309285116m

226213101;39828.02947226139m

66457601;73073.12465534358m

108397901;123269.80440026721m

325291401;55854.899651440835m

117586201;87465.12078408746m

259863201;28077.549408529303m

297095001;22357.09119783081m

384619101;14454.268795101678m

360163201;54139.20610084546m

105349301;108730.13950649793m

95135801;90349.20961293342m

251688801;61417.5543905815m

95165701;113031.84475707982m

